47	1	选择	要保证数据库的逻辑数据独立性，需要修改的是（ ）。	模式与外模式之间的映射	模式与内模式之间的映射	模式	三级模式	模式与外模式之间的映射	0	0
48	1	选择	关系数据模型是目前最重要的一种数据模型，它的三个要素分别是（ ）。	实体完整性、参照完整性、用户自定义完整性	数据结构、关系操作、完整性约束	数据增加、数据修改、数据查询	外模式、模式、内模式	数据结构、关系操作、完整性约束	0	0
49	1	选择	下述（ ）不是DBA数据库管理员的职责 。	完整性约束说明	定义数据库模式	数据库安全	数据库管理系统设计	数据库管理系统设计	0	0
50	2	选择	假设有关系R和S，关系代数表达式R－（R－S）表示的是（ ）。	R∩S	R∪S	R－S	R×S	R∩S	0	0
51	2	判断	超码一定是候选码。					错	0	0
52	2	判断	候选码一定是超码。					对	0	0
53	6	判断	数据库中尽量减少冗余。					对	0	0
54	6	判断	数据库中消除一切数据冗余。					错	0	0
55	2	判断	关系的元祖具有顺序无关性。					对	0	0
56	2	判断	关系的列具有顺序无关性。					对	0	0
57	2	判断	模式是关系的集合。					错	0	0
58	2	判断	关系数据库是关系的集合。					对	0	0
59	6	判断	全码的1NF一定是BCNF。					对	0	0
60	6	判断	单码的1NF一定是2NF。					对	0	0
61	2	判断	基本的关系运算是：并、差、积、选择、投影。					对	0	0
62	2	判断	基本的关系运算是：并、交、积、选择、投影。					错	0	0
63	1	判断	数据库系统就是数据库管理系统。					错	0	0
64	11	判断	冲突可串行化调度一定是可串行化调度。					对	0	0
65	11	判断	可串行化调度一定是冲突可串行化调度。					错	0	0
66	11	判断	遵守两端锁协议的调度一定是可串行化调度。					对	0	0
67	11	判断	可串行化调度一定是遵守两端锁协议。					错	0	0
68	6	判断	2NF是在1NF的基础上，消除了非主属性对码的传递函数依赖。					错	0	0
69	1	判断	在数据库的三级模式结构中内模式可以有多个。					错	0	0
70	1	判断	数据独立性指数据的存储于应用程序无关，数据存储结构的改变不影响应用程序的正常运行。					对	0	0
71	1	判断	三级模式间存在三个映射关系。					错	0	0
72	2	判断	用二维表来表示实体之间联系的模型称为网状模型。					错	0	0
73	1	判断	DBMS不需要操作系统的支持就可以实现其功能。					错	0	0
74	7	判断	在E-R图中，用来表示属性的图形是椭圆形。					对	0	0
75	7	判断	关系模型是目前最常用的数据模型。					对	0	0
76	6	判断	消除了部分函数依赖的1nf的关系模式必是2nf。					对	0	0
77	2	判断	数据表的关键字用于唯一标识一个记录，每个表必须具有一个关键字，主关键字只能由一个字段组成。					错	0	0
78	7	判断	E-R图是由实体、联系和属性3要素组成的。					对	0	0
79	2	判断	关系数据库是用树结构来表示实体之间的联系的。					错	0	0
80	2	判断	空值不同于空字符串或数值零，通常表示未填写、未知（Unknown）、不可用或将在以后添加的数据。					对	0	0
81	3	判断	删除表时，与该表相关联的规则和约束不会被删除。					错	0	0
82	3	判断	SELECT查询数据时，如果使用右连接，则是限制右边表的记录。					错	0	0
83	3	判断	创建视图时不能使用ORDER BY子句。					对	0	0
84	3	判断	可以在表或临时表上创建视图。					错	0	0
85	2	判断	外键的值唯一的标识了表中的一行记录。					错	0	0
86	11	判断	事务死锁后,不用关机也可以解除死锁。					对	0	0
87	8	判断	存储过程在每次执行前都需要编译。					错	0	0
88	8	判断	存储过程允许嵌套，即在一个存储过程中可以调用其他存储过程。					对	0	0
89	1	判断	数据管理是对数据进行分类，组织，编码，存储，检索和维护，是对数据处理的中心问题。					对	0	0
90	2	判断	关系数据操作的操作对象是关系但操作结果不是关系。					错	0	0
91	7	判断	一个工人可以加工多种零件，每一种零件可以由不同的工人来加工。则工人和零件之间为1：N的联系。					错	0	0
92	2	判断	选择是从关系中挑选若干属性组成新的关系的运算。					错	0	0
93	2	判断	关系模型的外码既是本关系的主码，也是另一类关系的主码。					错	0	0
94	11	判断	事务T对关系R加上了排他锁，则T对关系R只能写不能读。					错	0	0
95	10	判断	数据库恢复是使被故障破坏掉的数据恢复到故障前的某种数据一致的状态。					对	0	0
96	7	判断	概念设计依赖于具体的数据库管理系统。					错	0	0
97	10	判断	如果事务结束，就使用SQL语句的COMMIT，使数据恢复到开始之前的状态。					错	0	0
98	8	判断	游标就是用循环控制把主语言的集合操作转化为SQL的单记录操作。					错	0	0
99	10	判断	事务的原子性是指整个事务要么都执行，要么都不执行。					对	0	0
100	6	判断	设X→Y是关系模型R的一个函数依赖，如果存在X的真子集X'使得X'→Y成立，则称Y部分依赖于X。					对	0	0
